crime_type,2021,2022,2023,pct_21_22,pct_22_23,pct_21_23
abetment of suicide (sec.305/306 ipc),18722.0,18800.0,18772.0,0.41662215575259054,-0.14893617021276595,0.2670654844567888
assault on women with intent to outrage her modesty,714.0,844.0,1050.0,18.207282913165265,24.407582938388625,47.05882352941176
burglary (sec.454 to 460 r/w sec.380 ipc),195584.0,214444.0,215146.0,9.64291557591623,0.32735819141594075,10.001840641361257
buying of minors for prostitution (sec.373 ipc),4.0,6.0,8.0,50.0,33.33333333333333,100.0
causing death by negligence,309384.0,333974.0,347860.0,7.948051612235926,4.157808691694563,12.436325084684405
circulate false/fake news/rumours (sec.505 ipc/sec.505 r/w it act),1764.0,1716.0,2174.0,-2.7210884353741496,26.689976689976692,23.24263038548753
counterfeiting,8.0,24.0,30.0,200.0,25.0,275.0
criminal intimidation (sec.506 r/w other ipc crimes),246884.0,301864.0,334356.0,22.26956789423373,10.763787665968781,35.430404562466585
criminal misappropriation (sec.403/404 r/w other ipc),354.0,316.0,238.0,-10.734463276836157,-24.68354430379747,-32.7683615819209
cruelty by husband or his relatives (sec.498-a ipc),272468.0,280038.0,267352.0,2.7783079113877593,-4.530099486498261,-1.8776516875376192
culpable homicide not amounting to murder (sec. 304 ipc),7614.0,7242.0,7114.0,-4.885736800630418,-1.7674675504004418,-6.566850538481744
dacoity,38.0,22.0,28.0,-42.10526315789473,27.27272727272727,-26.31578947368421
dowry deaths (sec.304-b ipc),13506.0,12900.0,12312.0,-4.486894713460684,-4.55813953488372,-8.840515326521546
exploitation of trafficked person (sec. 370a ipc),,506.0,390.0,,-22.92490118577075,
exploitation of trafficked person (section 370a ipc),230.0,,,,,
"forgery, cheating & fraud",338962.0,381786.0,408154.0,12.633864562989361,6.906486880084654,20.41290764156454
hurt,585690.0,616618.0,650186.0,5.280609195991053,5.443889085300786,11.011968788949785
insult to the modesty of women (sec.509 ipc),15576.0,,,,,
kidnapping and abduction,55092.0,60138.0,59272.0,9.1592245698105,-1.440021284379261,7.587308502141872
making preparation and assembly for committing dacoity (sec.399 & 402 ipc),8120.0,8160.0,8032.0,0.49261083743842365,-1.5686274509803921,-1.083743842364532
murder (sec.302 ipc),58544.0,57044.0,55442.0,-2.5621754577753486,-2.808358460136035,-5.298578846679421
obstruction on public way (sec.283 ipc),117124.0,187096.0,302938.0,59.741812096581405,61.91580792748108,158.64724565417848
offences promoting enmity between different groups (total),2208.0,3140.0,4310.0,42.210144927536234,37.261146496815286,95.19927536231883
offences relating to documents & property marks (total),305544.0,343142.0,364428.0,12.30526536276281,6.203262789166001,19.27185609928521
offences relating to elections (sec.171-e to 171-i r/w ipc/sll),6180.0,1862.0,4248.0,-69.87055016181229,128.1417830290011,-31.2621359223301
rash driving on public way,227826.0,257178.0,274768.0,12.88351636775434,6.839620807378548,20.60432084134383
rioting (sec.147-151 ipc),3800.0,3156.0,2594.0,-16.94736842105263,-17.807351077313054,-31.736842105263158
sale of obscene books/objects (sec.292 & 293),122.0,,,,,
sale of obscene books/objects (sec292 & 293 ipc),,98.0,566.0,,477.5510204081633,
selling of minors for prostitution (sec.372 ipc),30.0,18.0,24.0,-40.0,33.33333333333333,-20.0
theft (section 379 ipc),699708.0,800324.0,877900.0,14.379712680146575,9.693074304906514,25.466623219971762
"unlawful assembly (sec.143, 144 & 145)",28314.0,22782.0,20004.0,-19.538037719855904,-12.193837239926257,-29.34943844034753
