state,2021,2022,2023,pct_21_22,pct_22_23,pct_21_23
A&N Islands,386,460,587,19.170984455958546,27.608695652173914,52.07253886010362
Andhra Pradesh,179611,158547,153867,-11.727566797133806,-2.9518060890461504,-14.333197855365206
Arunachal Pradesh,2626,2308,2505,-12.10967250571211,8.535528596187175,-4.607768469154608
Assam,119883,59315,49884,-50.52259286137317,-15.899856697294107,-58.3894296939516
Bihar,186006,211079,231627,13.47967269873015,9.734743863671895,24.526628173284735
Chandigarh,2401,2941,3285,22.490628904623076,11.696701802108127,36.8179925031237
Chhattisgarh,70519,73822,67961,4.683844070392377,-7.939367668174799,-3.6273911995348773
D&N Haveli and Daman & Diu,490,1184,761,141.6326530612245,-35.72635135135135,55.306122448979586
Delhi,291904,300429,324257,2.9204807059855296,7.931324872099564,11.083438390703792
Goa,2099,2711,2094,29.156741305383516,-22.759129472519366,-0.23820867079561697
Gujarat,273056,134600,170657,-50.70608226883863,26.788261515601786,-37.50109867572952
Haryana,112720,125435,129294,11.28016323633783,3.0764938015705345,14.703690560681334
Himachal Pradesh,13041,13231,13505,1.4569434859289931,2.070894112311995,3.558009355110804
Jammu & Kashmir,27447,25915,25127,-5.581666484497394,-3.0407100135056915,-8.452654206288484
Jharkhand,47684,48726,50187,2.18521936079188,2.9983992119197143,5.249140172804295
Karnataka,115728,129461,148648,11.86661827733997,14.820679586902619,28.446011336927967
Kerala,142643,235858,258538,65.34845733754898,9.615955362972636,81.24829118849155
Ladakh,519,439,459,-15.414258188824661,4.555808656036446,-11.560693641618498
Lakshadweep,89,64,76,-28.08988764044944,18.75,-14.606741573033707
Madhya Pradesh,304066,298578,297689,-1.8048713108338321,-0.29774464294087305,-2.097242046134721
Maharashtra,367218,374038,385623,1.8572074353653687,3.0972788861024814,5.0120092152345475
Manipur,2484,3029,19192,21.940418679549115,533.6084516342028,672.6247987117551
Meghalaya,2672,2914,2730,9.056886227544911,-6.314344543582704,2.1706586826347305
Mizoram,2467,3587,3281,45.39927036886907,-8.530805687203792,32.99554114308877
Nagaland,1033,1008,1050,-2.420135527589545,4.166666666666666,1.6456921587608906
Odisha,124956,143414,170022,14.771599603060276,18.55327931722147,36.0654950542591
Puducherry,3851,3237,3348,-15.943910672552583,3.429101019462465,-13.061542456504805
Punjab,46454,43738,44872,-5.846643991905971,2.5927111436279664,-3.405519438584406
Rajasthan,214552,236090,234985,10.038592042954622,-0.4680418484476259,9.523565382751034
Sikkim,532,549,511,3.195488721804511,-6.9216757741347905,-3.9473684210526314
TOTAL ALL INDIA,3663360,3561379,3763102,-2.7838104909154437,5.664182329372976,2.7226917365478687
TOTAL STATE(S),3336273,3226710,3405202,-3.2839938458273648,5.531702570110112,2.066047952310857
TOTAL UT(S),327087,334669,357900,2.318037708621865,6.941485467730803,9.420429427033175
Tamil Nadu,322852,193913,203804,-39.937494579559676,5.100741053977815,-36.873861707531624
Telangana,146131,151849,156737,3.9129274418159046,3.218987283419713,7.257871361997112
Tripura,4133,3653,3814,-11.613839825792402,4.407336435806187,-7.718364384224534
Uttar Pradesh,357905,401787,428794,12.260795462483062,6.721720712715941,19.806652603344464
Uttarakhand,15704,16967,17094,8.04253693326541,0.7485118170566394,8.851248089658686
West Bengal,157498,156503,156237,-0.6317540540197336,-0.1699647930071628,-0.8006450875566673
